clean_comment,category
though don have any good suggestions for additional deities the moment you should probably have some overlap the cavern dwelling gnolls might consider pelor the god evil blinding them with his wicked light loki has sufficiently fooled them over the years into thinking their benefactor always leading them the bountiful crops they steal from the peasantry they have statues him fat woman giving out food the starving they view the god death the god justice giving righteous end those gnolls that have served brutal conflicts point view can change everything ,-1
 cliche but you can wrong with cyric mean was mortal who just nabbed all when got the chance you gotta respect that ,-1
zon kuthon and his sister shelyn good deity have really cool story from the pathfinder setting plus off topic pathfinder has the coolest good deity ever cayden cailean was bard that got wasted one night stumbled into the temple the star stone artifact that can turn you into deity and woke the next morning with hangover memory the night before and godly powers ,1
 homebrew setting the primary lawful evil deity named for friend lewie essentially has three domains tyranny law applied without mercy vengeance and community the idea being that cruel and harsh god but also recognizes that you catch more flies with honey than with vinegar thus his church often the most benevolent toward the common people day day basis the running gag that lewian churches sponsor more inner city basketball teams than any other major faith you probably want change the name but might make interesting dynamic within your setting ,-1
his name shall lump wherever lumps are there warts tree burls breasts humpback whales ,0
for one campaign pretty much just snatched the chaos god nurgle lord plague from the whfb wh40k universe renamed him narghull was nar ghull can remember random apostrophes are always nice though the campaign revolved around his cult trying wake the god from sleep that had lasted 1000 years but sadly stalled very lazy this was back was never meant encountered directly meaning never worked out any stats anything basically works spread plague and other diseases and pretty damn evil think ,-1
demogorgon because fuck you and your shit god ,-1
you want badasss evil gods you want real gods then choose from this list there plenty evil cthulhu mythos ,-1
pelor the burning hate the best evil god ,-1
fyi the traditional chtonic deity for magic for the romans least was the goddess hecate ,1
 far evil goes big fan shar from the forgotten realms setting the god ultimate despair loss and suffering you know god evil when followers don even bother asking for small boons but instead invoke suffering themselves and others hopes that those events will enough prevent the god from needing get involved personally bringing suffering into the world shar isn one those pansy goddesses evil where you might get nod appreciation for sacrifice with shar you better kill somebody damn near ever day and you get nothing and like with check out the dogma here ,-1
 like the idea prometheus giving magic the pcs however think that prometheus should more like demi god and that the reason why gives the magic mortals prometheus could jealous the fact that the gods have all the powers and they granted him only half status upon his creation thus his revenge giving humanity order turn the tides power among deities and mortals furthermore perhaps the repercussion prometheus feels from his action being dragged the underworld cerberus making him seem less than deity like and more mortal inhuman order face judgment from egyptian goddess morals virtue and judge the dead ,1
pelor the burning hate also hextor boss god tyranny and conquest always fun think one the books there god lawyers too ,-1
wee jas lawful neutral god death magic and necromancy not evil god but perfect representation the inevitable things which mortals fear while other evil gods make plans which may thwarted wee jas merely waits all shall come her the end also playing cleric her fabulous fun ,1
zen master bassui said when the functioning analytical consciousness destroyed feelings are purified this referred the pure land the west you truly want know the meaning being born the pure land you must first know the master who born this land the physical body has never from its inception been the true body but rather temporary formation the five aggregates after the four elements disperse what remains called the self the self originally empty what that born the pure land there master born the pure land what that seeks this land bliss just extinguish the ever seeking mind rid thoughts and attachment form and the body consisting the four elements will have individual self when there individual mind the nature mind and there aspect disorder ,1
pure land other power opposed the usual self power taught most buddhist schools though the pure land here and now and not some other dimension the afterlife ,1
there are many flavours buddhism pure land ideas are not common all them however the important thing realize doesn really matter that the big difference compared the abrahamic religions buddhism not dogmatic the sense bunch things that must taken literally else you are non believer sinner whatever maybe pure land ideas work for you great maybe they don great what works for you works for you what doesn work useless you the historical buddha himself taught dramatically different styles suit his audience parables and metaphors are just that the point where they take you not literally believing them literally and physically true zen koans are good example this very purely distilled most are the form stories but not stories you are believe physically happened you are reading history book that entirely irrelevant what the story does you that the point you are wondering did this really happen does this place really exist you are missing that point also worth noting that most things are about psychological phenomenon not physical phenomenon personally find this makes buddhist cosmology much easier understand than considering competitor physical cosmology they not conflict they just about different cosmos ,1
 going try comment this simply can gets metaphysical and some may even say supernatural but hope you can try maintain open mind enough for help with your understanding everything that physical everything that exists the universe and beyond are created the power the mind exercised through consciousness mara created the samsara worlds planes dimensions that may experience joy sadness love heartbreaks etc this was done through his her its focus the mind and streams consciousness began attracted these worlds planes dimensions and begin develop craving for existence and thus begins the cycle rebirth the pure lands buddhism were created the focus the mind amitabha buddha way help individuals attain enlightenment their own pace amitabha buddha understood that the attraction emotions sex love and existence can overwhelming for normal individuals overcome within one lifetime 100 years average for human beings other beings much shorter and yet others much longer created the pure lands the west place refuge and practice for those who call upon his name sincerely this place not metaphorical state mind while these individuals are earth for lack better word real though not necessarily physical the way feel physical things via the electromagnetic repelling force electrons this world certain laws physics are applicable that world land plane dimension whatchamacallit certain laws physics not apply and yet newer laws superphysics would also the rule there that not the law our world now having been carried this land doesn mean that the individuals are guaranteed enlightenment first they still need cultivate themselves while there enlightenment not given dependant every single individual consciousness efforts shed the fetters samsara anger ignorance and jealousy and embrace the noble truths they may choose rejoin the samsaric worlds again and back into the cycle rebirth but least they have the option stay and cultivate themselves the pure land the west that would the main difference between the abrahamic idea heaven against the amitabha buddha pure lands the west hope this helps ,1
 think your characterization pure land isn that far off there reason not that popular among westerners odd abandon christianity judaism and take pure land because first impressions buddhism was that was devoid dogma but now seems much leap faith the abrahamic religions least the pure land sect most forms buddhism have some sort supernatural element some orthodox believers might deny that just like some christians might attempt make scientific arguments for the world being 6000 years old the very least you have rebirth and different planes that includes devas zen seems have the least reverence for dogma which why popular the west the other western strategy assume things are meaningful figuratively and not literally but yeah buddhism religion the end the day for most its followers ,1
most religions have dogmatic orthodox well esoteric philosophic side the christian heaven can seen palace the clouds state mind rebirth buddhism can seen fact just superstition left over from other beliefs you interpret and understand you see fit like think about various religions talking about the same thing using different words and yes cherry pick what believe but honestly and very carefully think better than taking everything religion says and rejecting everything doesn say there must hundred different ways talk about enlightenment heaven pure land individuation alchemy rites passage education trials meditation the tricky part that what describes can easily explained words and most importantly has understood which different than just knowing reading about the pure land real place state mind doubt real place but sure some will believe buddhism has some dogma but not nearly much eastern religions ,1
you won find one answer your question but the pure land state mind perspective reality not separate place let quote thich nhat hanh human beings our deepest desire find environment which secure and where there love and understanding all want live such environment you live surroundings where you feel there security understanding and love and where people have the capacity transform their suffering fear and attachment then you live the pure land from finding our true home this isn leap faith all because you have already been the pure land but momentarily every time you bring the buddha mind fully then you are said the pure land imagine because you enter that state some degree this not matter faith but expanding upon what you know joyful experience quite different the abrahamic religions concept heaven which eschatological reality rather than gnostic one will add that there course are some who believe the pure land totally separate paradise however there are positive ways understanding this when the state mind another rebirth will seem like such foreign reality that may well different place entirely ,1
 first impressions buddhism was that was devoid dogma isn good thing about buddhism least for outsider that much easier pick and choose what parts you not want use see dogma kind environment habitat for the profound and useful ideas develop all religions have something useful buddhist religions and not just one homogeneous buddhism just seem have something that more relevant and powerful the context our culture ,1
from limited knowledge the pure land not paradise but place contemplation stepping off point where you are given the knowledge leave the cycle suffering and rebirth anything more akin the now defunct catholic idea purgatory than actual heaven ,1
 response your question about how amitabha created the pure land this quote from the article pure land buddhism wikipedia the longer sukhāvatīvyūha sūtra the buddha begins describing his attendant ānanda past life the buddha amitābha states that past life amitābha was once king who renounced his kingdom and became bodhisattva monk named dharmākara dharma storehouse under the guidance the buddha lokeśvararāja world sovereign king innumerable buddha lands throughout the ten directions were revealed him after meditating for five eons bodhisattva then made great series vows save all sentient beings and through his great merit created the realm sukhāvatī ultimate bliss this land sukhāvatī would later come known the pure land chinese translation important remember that buddhism has been around for thousands years and that for long time buddhists didn have telescopes big machines scan the brain with his holiness the dalai lama himself has said that the discoveries science and the teachings buddhism contradict then the discoveries science are correct this video tgv1gwvrz one the major teachings the buddha was test out each his teachings oneself order see they were true rather than taking his word faith without proof however course just man who has seen mountain some remote region where one has not traveled may believed until the distance that region crossed might have some sort faith buddhist teachings since the people doing the teachings have often devoted their whole lives the teachings the buddha ,1
exactly the song was jamming when made this ,1
 nam indeed ,0
 jbdbx28pxga,0
maybe they ate dosa who knows ,0
according this nbc chicago article walsh holds ladies week 169189026 html here what they have say about joe walsh unless you’ conservative suburban white male over rep joe walsh tea party ill has said something offend you walsh’ rhetoric has been caricature the image republicans party devoted only old white guys ,-1
are you guys seriously pissed about idli sambar remark thought were past all this second thoughts one gives shit about the tea party not even the their craziness got too much even for the hardcore republicans ,-1
 tea partier expresses support for namo after eating idli sambar with conservative indian american group indiatribune com submitted minutes ago ladki realize you hate modi but you just showed off your casual racism with that idli sambhar snide remark another thought fuck off ,-1
the discussion about the rat ended concluding won work because you will naturally headbutt the rat death minotaur might work with another race though trog wrath very very very difficult survive you have boots levitation and lots food you might able hover over lava deep water won help summons giant sized creatures other than that tomb card might work you have your stash food not sure you not using shield you might well switch two handed axe from experience anti magic isn that great with brand fire you can generally kill things faster use holy versus liches and other undead casters and also kill them faster ,1
 could swear they lowered trog wrath just got extremely lucky because recently tried make the switch kobe and was not difficult all just took food ring and some perma food and carved out two space area near the the summons were actually not the worst part the worst got was berserk hill giant and the vast majority were just berserk bears for the worst part was actually the rotting since happened least times and never caught right away while spamming rest,-1
for the love gods don the abyss until trog wrath over none your teleport blink panic buttons work lost handful very promising mibes this way ,1
 when and how supposed swap tso and branch order from there basically you switch immediately before entering crypt clear crypt max tso piety then holy brand your best weapon your case that executioners axe and off you post endgame branch order like whatever theres strict order like there the early game whichever branch you feel best prepared for how avoid meeting terrible fate the hands trog wrath you have book with blink soon you leave trog train transloc little bit that you can cast then whenever surrounds you with berserking enemies you can blink out the middle them and run staircase teleport you can keep scrolls blinking hand for this purpose but feel more secure also having the spell trog wrath includes fire miscasts that burn all your shit see trick with going lair and having rat block you off but this still viable you can the rat shield thing with most combos but its tedious and unnecessary and your case the minotaur retaliatory headbutt would kill the rat anyway its not option antimagic axe that carry around viable for use all since strictly one handed should train shields use with since have shield reflection could use not really war axes arent very good and while has fantastic selection resists does little damage that its not practical choice weapon against any tough monster wouldnt forgo the damage output weapon use physical shield shields arent very good for melee allruners and therse always tsos divine shield ability you want reflection isnt good shield brand plus its double not good for tso worshiper you reflect poison projectile and hits something you will incur penance for use poison ,1
 brother trog very wrathful indeed but his will destroy you neither endless nor inevitable going take the route many will find the easy way out and say that getting past trog your level trivial his wrath dangerous out the open but when you are able choose the area diluted mere timesink what you must grab your closest disintegration wand and cut two diagnols into the wall this will allow you only view one other tile time this point you simply need make sure you have good chunks permafood pip two and then either drop your scrolls wear conservation that point you just spam rest and then tab every time trog has tantrum minotaur your power should have trouble killing his summons after long while you will get message saying has calmed down then you are free worship that damned tso trog wrath your level probably one the least dangerous things you can spend your time dealing with you are willing cheese ,1
 were you slime zot except for the orb chamber and blade hopefully you find some better armour you really want good executioner axe before you convert well the okay but could better you really need wearing plate gda something heavier you have more than abandoned trog with level mibe and found pretty trivial the berserked stone giants weren terribly difficult and cleared tomb and most all hells while under trog wrath but somewhat wary trying this with your low and weak weapon you could try waiting out but takes thousands and thousands turns very boring one handed axes suck use executioner axe ,1
 have currently rune mibe right now and abandoned trog then immediately cleared crypt max piety and enchant executioner axe then threw caution the winds and cleared pan and hells while under trog wrath was tricky but doable make sure you have curing potions that time was strong enough take out trog summons all sides problem worked but could have died with worse luck ,1
 your stage you should strong enough take the berserk summons have the resources escape out them retreat corridor and take them one one quaff curing heal rot would also recommend you get plate armour better asap for the and guaranteed damage reduction also wield the biggest axes you can find kill things faster ,1
 you max armour dodging and shields for tso divine shield then the berserkers are joke can wipe them even when fully surrounded and only lose health even with armour and dodging they won give you much trouble ,-1
ewwww why are you using broad axe get real weapon bet trog gave you good battleaxe exec axe something splint get plate armour better trog wrath will completely destroy char with such poor defenses ,1
aeee mere watan kaee logoo … zaraa aankh mein bharr loo paani … ,-1
kahin dubara rss nahi join kar ,0
 mera kar dega main bhi tera kar dunga ,1
 must transitioning new avatar,1
اللعنة عليك bismillah rasool wasallam barigatul maudolul muhammad sallolulu اللعنة عليكاللعنة عليكاللعنة عليك القضيب الكفارmay allah grant him jannah and sexy houris القضيب الكفار,1
saar don take tenshan will rize frm his asses and fly sum day sum day ,1
can congress eliminate namo and blame advani ,0
 don know but surely there his statue every bjp ruled state and have half the schemes named after him couple airports too they did for guy like savarkar compared whom modi small fry ,1
after seeing this uvjx3kwoehw video seems anything possible with the congress party ,0
 27s law headlines,0
congress needs bogeyman modi without the bad guy where will the muslim votes the voter turn out good bjp will make successful coalition form government the current moods definitely suggest the same ,1
yeah they got suicide wish some posters said the aftermath gonna one the biggest communal riots atleast gujarat ,0
you mean the ruling coalition government hatch scheme assassinate their biggest political rival months before the next national election and then blame the incident muslim terrorism yea and also prepare witness the biggest religious genocide the history india ,-1
question for anyone from the over gujaratis who did not vote for modi why ,0
 want know how prevalent casteism especially untouchability gujarat gujarati muslims speak gujarati their first language urdu some other dialect there much internal migration into gujarat from other states such bihar etc what percentage gujaratis can speak hindi english tell something about how gujaratis try etc ,0
how people get daaru gujarat why drinks are prohibited the first place other words weekender drinker need scotch saturday evenings can get this gujarat why should and work gujarat even live there how are the alcohol smuggling contained gujarat easy smuggle daaru from neighboring state into gujarat ambani driving into the city with bottles daaru will his vehicle checked the check points ,1
 have impress gujju girl how begin ,0
please don downvote this thread and comments you don have any interest the state leave alone for those you complaining about politics please something constructive and ask talk about the state and the people instead leaving one liner modi messages ,0
who the most charismatic leader after modi who has worked the ground level for the upliftment gujarat state let know the people who have worked immensely for the development gujarat but are not quite popular the national media ,1
 heard there was direct line narendra modi which can accessed any average gujju this true ,1
 dear going very difficult keep discussion about modi this page from there are many glorious commentaries happening mainstream media about the status improvement gujarat how true that why are gujaratis mostly vegetarian when spoke guy from gurgaon not douchey type about relocating gujarat mentioned that kinda different and uncomfortable haryana how gujaratis feel about other state guys gujarati manoos movements there ,1
 know gujjus are big veg food but isn there least one gujju non veg dish worth trying out edit you retards are going downvote this least have the decency tell the reason ,-1
how the public transportation gujarat from friends experience really bad when compared tamil nadu andhra pradesh ,-1
 family personally has always had good relations with muslim families before and after the 2002 riots have noticed one big change ahmedabad last years muslims and hindus travel each others areas bade aaram know should always like that and there shouldn ghettoization the first place but you cannot change something overnight ghettos have always been there ahmedabad there are religion based laws that regulate the purchases real estate now weekends see hordes muslims parks malls hindu dominated areas this something you can only feel good about you have seen the historical animosity first hand while land being occupied private owners during the real estate bubble earlier last decade corporations started building gardens all across the city availability public spaces also opened social opportunity for people right after the carnage don understand sociology and its relation with architecture but guess open spaces contribute people feeling more comfortable however when real estate prices started going housing has been completely out reach for middle class lot malls open only close down later any time mall all see people chilling the centrally cooled off ambiance than any shopping you can take land away from people but they will reclaim one way another for youth this state can really boring you can travel and visit places but you want kick around the city during weekend there hardly anything add that the prohibition that takes out huge venue for people hangout ahmedabad baroda and surat you can see groups people sitting curbs and parking lots and chatting because there nowhere else again own inclination towards the want public spaces could cloud judgment gujarat has always been safe for women could trust that sister and her friends would come home safely after late night show dandiya lately there has been lot incidences chain snatching and robberies lot migration has taken place the same time don know both are related bootleggers check major illegal activities are around booze and real estate are much lower than punjab ncr and higher than south indian states bragging ,1
don discuss gujrat like everyday ,-1
geez why every single post this thread downvoted ,-1
 lets talk about the elephant the room regardless what the media wants think how good bad the equation between hindu muslims gujrat was good before that has worsened improved since then ,1
does ahmedabad have chance becoming the next great metro city india joining the first four bangalore and hyd ,1
how devarshi patel the ultimate rockstar from ahmadabad ,0
why that there are not many big companies gujarat ,-1
dry state why ,-1
 the sabarmati waterfront really good maintained properly why autorickshaws like cram people where should only max people inside arent there any safety regulations regarding that ,1
 questions about garba and uttrayan ,0
 always hear about modi when comes gujarat politics who are some less unknown politicians should know about ,-1
 you were pick one other state you consider closest your culture what would raj ,-1
 have heard that due the booze policy women feel much safer night gujarat this true why the addiction fried snacks must visit places ,1
 more worried about gujarat child sex ratio stands 886 village population 400 500 there are roughly single guys who are years old only girls were single years older and they got married nris this the case for many villages this continue most likely guys will have give dowry girls gujarat ,1
scheduled castes day before marriage parties are awesome they get drunk and dance like crazy plays songs god knows what languages but they dance crazy closer foreign clubs starts around 10pm and goes till 4am was there only for minutes friends didnt wanted stay there girls and guys from all ages but after around midnight only youngsters mostly singles left dancing and what heard that they khet and fuck like crazy after party didn see that part recorded video and took pictures but fucking lost iphone5 ,-1
 want move gujarat and live there for few months any city that you can recommend ,-1
fun fact under the current fsi rules cities like ahmeadbad surat vadodra etc you will not find buildings residential commercial taller then 200ft the result this policy cities have grown horizontally then vertically ahmedabad from what was years ago now incorporates much bigger footprint ,1
what problems you face your daily life mean form gov system ,-1
does baby have the buddha nature ,0
 all bullshit experts said was practically impossible move 000 people short span time even the armed forces whose personnel are trained for such massive tasks the government own records showed that the 000 odd people who have returned gujarat till saturday about 200 had used arrangements made the state government the 400 plus pilgrims that reached ahmedabad railway station sunday morning had made their own arrangements return home source cms ,1
 need modditor ,0
" pretty sure this sarcasm satire the news 15000 people saved stems from only one source toi article author anand soondas author with exclusive profile writing anti modi articles toi the last line the article giveaway asked about the new model rescue and relief operation modi that has helped 000 gujaratis get out uttarakhand angry congress legislator said see that what mean his model works only for gujaratis cms
",1
saw this twitter india apco 000,0
 why not have ama someone rescued uttarakhand government sure that more fiery ,1
disasster management teams from world around can learn from this that how you can rescue 15000 people from such place and what machinery and what human resources you used you can nothing that sort and avail the serivces apco ,0
where when did modi claim rescue 15000 people far know his government organized transportation gujarat plane and road judging the reports that are coming out from uttarakhand about survivors being raped and looted goons say did the right thing pulling out gujaratis soon possible least they won have suffer relief camps and mercy state government for food and water ,1
bjp forward caste leaders advani rajnath joshi naidu gadkari jaitley yashwant sushma will not accept modi their prime minister candidate they collude with congress cbi malign dump eliminate modi appropriate time the pretext godhra riots till then bjp will use modi only for getting urban india votes elections google corrupt money with forward caste people saradha group financial scandal billion igi airport scam billion coal mining scam billion karnataka wakf board land scam billion andhra pradesh land scam billion service tax and central excise duty fraud billion gujarat psu financial irregularities billion fdes maharashtra stamp duty scam million highway scam million ministry external affairs gift scam 000 fde himachal pradesh pulse scam 000 month flying club fraud million jammu and kashmir cricket association scam million punjab paddy scam million arvind joshi and tinu joshi million uttar pradesh seed scam million obsolete french fighter jets billion nhrm billion goa mining scam million noida corporation farm land scandal million bellary mines scandal billion kashyap epfo scam million hasan ali khan billion isro devas million cash for votes 000 spectrum scam tata ambani radia tapes kanimozhi raja billion adarsh housing society commonwealth games billion lic housing loan scam million belekeri port billion lavasa million uttar pradesh food grain billion apiiic billion ipl cricket billion madhu koda million uidai billion vasundhara raje land scam billion satyam billion scorpene deal million oil for food programme natwar singh billion gegong apang pds million taj corridor million ketan parekh million barak missile million calcutta stock exchange million cobbler scam million sukh ram million snc lavalin million advani hawala million bihar fodder million bhansali million pickle bribes 000 telgi scam billion jmm bribes 000 sugar import miillion harshad mehta million indian bank million bofors million hdw commissions million antulay million nagarwala million haridas mundhra million kuo oil scandal 000 teja loans million bhu 000 jeep scandal 000 ,0
 ozutcxknmzg,0
ama request kapil sibal need more explanation about zero loss theory this theory some how connected string theory theory ,1
 too much attention ,1
put that days back ,0
rofl why are you asking permission you and your internet sena already have ghotofied his message any one you can this ama posing him just ask your social media viral team leader for permission and happy with your initiative only thing steal your idea and not give you credit but you fine being phokat nachne wala tattu rofl ,1
namo will ama here one day not worry ,0
 deserves you think deserve such mainstream media attention with the number shady accounts that have fuck hate the new india well most anyway think mods should try ban toi ndtv etc urls from submission test run for few days ,-1
 india after namo ama ,0
don worry there will ama some point ,0
yess back,0
 the rivers indian people need boat ,0
modiji you use condom wait ,0
betting open tomorrows toi headline money modi pledges attack usa modi says western nations are primitive ,0
social media technology from the west ,1
although don personally like modi will admit that has the most brilliant writers have ever seen indian politics pretty much unprecedented this america level campaigning very very impressive ,1
 true india needs top universities and not fdi fdi means foreign slavery ,1
why does every post about modernizing developing india turn into pissing contest with china why constantly drag ourselves down whilst comparing authoritarian regime wouldn much easier have huge manufacturing sector when you don have meet any environmental labour safe working conditions norms open many factories you want will provide workers who work hours day days week for next nothing left wing labour unions bother you political parties opposing land grabbing from farmers environmental groups preventing deforestation constructing new dams nuclear poweplants you won have ill informed villagers occupying the construction place ill advised politicians spreadnig lies and scaring people about the harm these build how ever many you want seen people mention chinese websites and mobile apps that laughable chinese people had choice from the beginning they wouldn have their own versions facebook and twitter and google they would have just used facebook and twitter and google censorship and isolationist distrust does not spur innovation never has and never will also people slagging off indians that can create similar quality products forgetting the fact that huge amount work those products take place india comparing india and china like comparing apples and oranges fortunately unfortunately depending your view india secular democracy never million million years want become like china have our problems and need work them out but value democracy more than the other option worth ,1
well let start with eliminating religion the very least separating religion and state politics true sign modernisation and progress doubt the man capable ,1
from whatever heard this the model modi speech make audience feel good about themselves piece from history talk about current relevant problems solution may may not have employed gujarat restart ,1
there one tool bjp can use their manifesto which would pretty much win every netizen vote and that fast and cheap internet they promise deliver blazing fast internet 1gbps faster than romania and allow isps such google fiber they have vote ,1
probable scenario arnab goswami addressing everybody what will you you become the the nation wants know modi will list out some possible ways for the economic development the country raul can speak diggi will smile and say issme rss haath hai ishrat jehan encounter case mms will say theek hai ,1
 doubt diggy would accept ,0
 would rather love have more like confessional statements from mms gandus piggy zero sibal chidu tiwari and others russian roulette style there nothing debate every congi have developed good jaw muscles from all that useless debates time break their jaws ,1
its just going embarrassing for the congress party modi clearly different level campaigning rest them has better speech writers publicity teams etc whitewash ,1
would love even though they aren candidates like add kejriwal and this group then things will get even more interesting ,1
you mean between namo and manmonia manmaino ,-1
porngress wont announce their candidate cuz they know they there will massive pressure them have against modi and all know that modi can pawn mms anyday anytime they want announce before election will have someone that can return heat back modi even they find such candidate there isn simply anyone match modi popularity ground studios you have anchors that can negate the modi effect not ground basically you will see congress attacking modi left and right but not disclosing their candidate avoid being punched back ,1
that gonna the india pre election orgasm moment ,0
who will moderate the debate and which channel website will show the debate uncensored and live ,1
namo would talk about how the congress has failed the country rahulbaba would talk about how the others are attempting polarize the country diggi would just wildly throw baseless accusations and manmohan would read from drab script about how the world tough place and that even through that the congress has attempted develop the nation and would read this out irrespective the question irrespective the subject the mood the discussion and irrespective whether someone else speaking him asking him questions all all would just waste everybody time given that this would broadcasted primetime slot would really waste everyone time ,-1
hence proved modi kundi rule ,0
why diggi ,0
wow that assist the assist was pretty good,1
 can wait see the chubs few years time looks good ,1
great agility from akpom cut back and bend ,1
nice ball through rambo and tidy finish form akpom ,1
anybody got full list subs ,1
chamberlain really did well ,1
fantastic strike the ,1
great goal ,1
beautifully weighted strike from the ,1
stuck work here can watch the game live does anyone have any videos the 2nd and 3rd giroud goals ,-1
where can watch this match later work the moment coyg ,0
will there replay the game the arsenal website ,-1
hey lukas what was that,0
this getting bit silly now ,-1
zelalem going cesc without all the barca dna shit ,-1
wilshere scares the hell out when does those slide tackles from behind does that too often the starting yellow card collection,-1
giroud touches are all reminding how clumsy and his non existent dribbling skills good finisher though would love see someone like suarez playing front with him also really nice see gnabry making strong case for playing the first team ,1
arteta having shocker ,0
after the indonesia performance and now this rout against vietnam feel really confident about our chances this season giroud looks good that wouldn mind don sign striker ,1
giroud hat trick goal season confirmed,1
zelalem passing makes hard ,-1
zelalem ,0
sorry guys just got call saying got job hang while update some this stuff may look rusty for bit ,-1
 close another great pass from tommy ,1
fantastic pass zelalem ,1
 allaaaaaaaaaaaaaaaaahhhhh girooooooooooud ,0
zelalems vision incredible,1
really looking forward tracking zelalems progress through the ranks the kid was playing high school ball marlyland year ago and now standing out the arsenal first team ,1
please one start thread asking whether not giroud scoring against this competition means dont need striker ,0
sagna should interesting ,1
giroud lovely ball from rosicky,1
regardless the opposition all girouds goals have been well taken this preseason however will continue liability unless able find the simple pass the final third when his back goal ,1
